+ plus  mais
- minus menos
x times multiplicação
x multiplication    multiplicação
÷ division  divisão
= equal to  igual a
≠ not equal to  diferente de
≈ approximately equal  aproximadamente igual
≅ congruente    congruente
> greater than  maior que
< less than menor que
∓ plus or minus mais ou menos
∞ infinity  infinito
≥ greater than or equal to  maior ou igual a
≤ less than or equal to menor ou igual a
⇔ equivalent se e somente se
⇒ implies   implica em
∅ empty vazio
∀ for all   qualquer que seja
∘ degree graus
{} braces   chaves
[] brackets colchetes
() parentheses  parênteses
∫ integral  integral
∩ intersection of two sets  interseção
∪ union of two sets união
∴ therefore portanto
∵ because/since desde que
√ square root raiz quadrada
& ampersand e comercial
% percent   porcento
